"respondent_id","h1n1_vaccine","seasonal_vaccine"
26707,0.089441667168584,0.4
26708,0.089441667168584,0.18796992481203
26709,0.727272727272727,0.753086419753086
26710,0.341714285714286,0.872576177285319
26711,0.089441667168584,0.436974789915966
26712,0.58,0.753086419753086
26713,0.247222222222222,0.242424242424242
26714,0.089441667168584,0.18796992481203
26715,0.089441667168584,0.18796992481203
26716,0.089441667168584,0.753086419753086
26717,0.089441667168584,0.660194174757282
26718,0.089441667168584,0.436974789915966
26719,0.089441667168584,0.660194174757282
26720,0.089441667168584,0.660194174757282
26721,0.654929577464789,0.660194174757282
26722,0.089441667168584,0.18796992481203
26723,0.731690622861054,0.660194174757282
26724,0.089441667168584,0.660194174757282
26725,0.089441667168584,0.18796992481203
26726,0.089441667168584,0.18796992481203
26727,0.089441667168584,0.753086419753086
26728,0.16542014958205,0.436974789915966
26729,0.089441667168584,0.18796992481203
26730,0.089441667168584,0.18796992481203
26731,0.089441667168584,0.18796992481203
26732,0.247222222222222,0.242424242424242
26733,0.731690622861054,0.872576177285319
26734,0.731690622861054,0.436974789915966
26735,0.089441667168584,0.436974789915966
26736,0.089441667168584,0.18796992481203
26737,0.089441667168584,0.18796992481203
26738,0.617128463476071,0.872576177285319
26739,0.089441667168584,0.18796992481203
26740,0.089441667168584,0.18796992481203
26741,0.089441667168584,0.872576177285319
26742,0.089441667168584,0.18796992481203
26743,0.089441667168584,0.18796992481203
26744,0.089441667168584,0.753086419753086
26745,0.16542014958205,0.872576177285319
26746,0.089441667168584,0.18796992481203
26747,0.089441667168584,0.18796992481203
26748,0.16542014958205,0.18796992481203
26749,0.089441667168584,0.582089552238806
26750,0.617128463476071,0.872576177285319
26751,0.358490566037736,0.916666666666667
26752,0.089441667168584,0.18796992481203
26753,0.16542014958205,0.436974789915966
26754,0.089441667168584,0.242424242424242
26755,0.089441667168584,0.436974789915966
26756,0.089441667168584,0.18796992481203
26757,0.425675675675676,0.872576177285319
26758,0.3125,0.660194174757282
26759,0.089441667168584,0.18796992481203
26760,0.089441667168584,0.18796992481203
26761,0.247222222222222,0.4
26762,0.089441667168584,0.436974789915966
26763,0.731690622861054,0.872576177285319
26764,0.731690622861054,0.872576177285319
26765,0.16542014958205,0.872576177285319
26766,0.089441667168584,0.18796992481203
26767,0.731690622861054,0.872576177285319
26768,0.089441667168584,0.582089552238806
26769,0.089441667168584,0.4
26770,0.16542014958205,0.872576177285319
26771,0.089441667168584,0.18796992481203
26772,0.089441667168584,0.660194174757282
26773,0.089441667168584,0.582089552238806
26774,0.089441667168584,0.242424242424242
26775,0.089441667168584,0.436974789915966
26776,0.425675675675676,0.872576177285319
26777,0.089441667168584,0.872576177285319
26778,0.16542014958205,0.436974789915966
26779,0.089441667168584,0.753086419753086
26780,0.089441667168584,0.872576177285319
26781,0.16542014958205,0.436974789915966
26782,0.089441667168584,0.18796992481203
26783,0.089441667168584,0.18796992481203
26784,0.089441667168584,0.916666666666667
26785,0.341714285714286,0.582089552238806
26786,0.089441667168584,0.18796992481203
26787,0.089441667168584,0.4
26788,0.089441667168584,0.660194174757282
26789,0.089441667168584,0.242424242424242
26790,0.089441667168584,0.18796992481203
26791,0.089441667168584,0.18796992481203
26792,0.16542014958205,0.753086419753086
26793,0.089441667168584,0.660194174757282
26794,0.731690622861054,0.872576177285319
26795,0.089441667168584,0.872576177285319
26796,0.089441667168584,0.18796992481203
26797,0.089441667168584,0.872576177285319
26798,0.223300970873786,0.18796992481203
26799,0.265957446808511,0.753086419753086
26800,0.089441667168584,0.872576177285319
26801,0.247222222222222,0.582089552238806
26802,0.089441667168584,0.18796992481203
26803,0.089441667168584,0.18796992481203
26804,0.089441667168584,0.18796992481203
26805,0.089441667168584,0.436974789915966
26806,0.089441667168584,0.660194174757282
26807,0.724137931034483,0.753086419753086
26808,0.16542014958205,0.436974789915966
26809,0.731690622861054,0.753086419753086
26810,0.089441667168584,0.18796992481203
26811,0.089441667168584,0.18796992481203
26812,0.089441667168584,0.753086419753086
26813,0.638888888888889,0.242424242424242
26814,0.089441667168584,0.4
26815,0.089441667168584,0.18796992481203
26816,0.16542014958205,0.436974789915966
26817,0.341714285714286,0.872576177285319
26818,0.089441667168584,0.436974789915966
26819,0.223300970873786,0.753086419753086
26820,0.089441667168584,0.18796992481203
26821,0.089441667168584,0.660194174757282
26822,0.089441667168584,0.753086419753086
26823,0.3125,0.242424242424242
26824,0.089441667168584,0.582089552238806
26825,0.341772151898734,0.582089552238806
26826,0.089441667168584,0.436974789915966
26827,0.089441667168584,0.436974789915966
26828,0.372093023255814,0.872576177285319
26829,0.391891891891892,0.872576177285319
26830,0.089441667168584,0.660194174757282
26831,0.089441667168584,0.660194174757282
26832,0.089441667168584,0.872576177285319
26833,0.089441667168584,0.4
26834,0.388888888888889,0.660194174757282
26835,0.646464646464646,0.872576177285319
26836,0.089441667168584,0.660194174757282
26837,0.145762711864407,0.18796992481203
26838,0.089441667168584,0.18796992481203
26839,0.164835164835165,0.18796992481203
26840,0.089441667168584,0.18796992481203
26841,0.388888888888889,0.872576177285319
26842,0.089441667168584,0.18796992481203
26843,0.089441667168584,0.18796992481203
26844,0.089441667168584,0.436974789915966
26845,0.089441667168584,0.582089552238806
26846,0.089441667168584,0.753086419753086
26847,0.341714285714286,0.18796992481203
26848,0.089441667168584,0.753086419753086
26849,0.164835164835165,0.436974789915966
26850,0.372093023255814,0.872576177285319
26851,0.089441667168584,0.18796992481203
26852,0.089441667168584,0.18796992481203
26853,0.281767955801105,0.436974789915966
26854,0.089441667168584,0.18796992481203
26855,0.372093023255814,0.872576177285319
26856,0.16542014958205,0.18796992481203
26857,0.6875,0.4
26858,0.089441667168584,0.916666666666667
26859,0.089441667168584,0.18796992481203
26860,0.164835164835165,0.18796992481203
26861,0.089441667168584,0.18796992481203
26862,0.089441667168584,0.436974789915966
26863,0.16542014958205,0.436974789915966
26864,0.646464646464646,0.18796992481203
26865,0.089441667168584,0.18796992481203
26866,0.16542014958205,0.436974789915966
26867,0.089441667168584,0.18796992481203
26868,0.724137931034483,0.753086419753086
26869,0.089441667168584,0.436974789915966
26870,0.664516129032258,0.660194174757282
26871,0.089441667168584,0.18796992481203
26872,0.089441667168584,0.4
26873,0.16542014958205,0.872576177285319
26874,0.089441667168584,0.18796992481203
26875,0.372093023255814,0.872576177285319
26876,0.089441667168584,0.18796992481203
26877,0.089441667168584,0.18796992481203
26878,0.16542014958205,0.153846153846154
26879,0.089441667168584,0.18796992481203
26880,0.089441667168584,0.436974789915966
26881,0.089441667168584,0.18796992481203
26882,0.089441667168584,0.18796992481203
26883,0.089441667168584,0.18796992481203
